# grcolor, gmag
2.078000000000001180e+00 3.052400000000000091e+01
2.037000000000000810e+00 2.979700000000000060e+01
1.802000000000001378e+00 2.824200000000000088e+01
1.592000000000000526e+00 2.716600000000000037e+01
1.357999999999998764e+00 2.625000000000000000e+01
1.178000000000000824e+00 2.553699999999999903e+01
1.028000000000000469e+00 2.484199999999999875e+01
8.970000000000002416e-01 2.418100000000000094e+01
7.709999999999990195e-01 2.353300000000000125e+01
6.349999999999997868e-01 2.287100000000000222e+01
6.219999999999998863e-01 2.279299999999999926e+01
5.679999999999996163e-01 2.247100000000000009e+01
5.229999999999996874e-01 2.218400000000000105e+01
4.860000000000006537e-01 2.192500000000000071e+01
4.540000000000006253e-01 2.170400000000000063e+01
4.369999999999993889e-01 2.158800000000000097e+01
4.090000000000006963e-01 2.136400000000000077e+01
3.830000000000000071e-01 2.114499999999999957e+01
3.570000000000002061e-01 2.091700000000000159e+01
3.300000000000000711e-01 2.064499999999999957e+01
3.129999999999997229e-01 2.046799999999999997e+01
3.029999999999999361e-01 2.035000000000000142e+01
2.820000000000000284e-01 2.012100000000000222e+01
2.509999999999994458e-01 1.975300000000000011e+01
2.439999999999997726e-01 1.965299999999999869e+01
2.379999999999999893e-01 1.956000000000000227e+01
2.379999999999995453e-01 1.954500000000000171e+01
2.359999999999997655e-01 1.949200000000000088e+01
2.349999999999998757e-01 1.924399999999999977e+01
2.599999999999997868e-01 1.907900000000000063e+01
3.000000000000002665e-01 1.895100000000000051e+01
3.659999999999996589e-01 1.887300000000000111e+01
4.300000000000001599e-01 1.884700000000000131e+01
4.770000000000003126e-01 1.880199999999999960e+01
5.049999999999998934e-01 1.871600000000000108e+01
5.260000000000002451e-01 1.858399999999999963e+01
5.379999999999998117e-01 1.844900000000000162e+01
5.459999999999998188e-01 1.830499999999999972e+01
5.520000000000000462e-01 1.816100000000000136e+01
5.579999999999998295e-01 1.801300000000000168e+01
5.629999999999999449e-01 1.786500000000000199e+01
5.689999999999999503e-01 1.771099999999999852e+01
5.740000000000000657e-01 1.756000000000000227e+01
5.810000000000001830e-01 1.741100000000000136e+01
5.870000000000001883e-01 1.726800000000000068e+01
5.940000000000000835e-01 1.711899999999999977e+01
6.019999999999999796e-01 1.697500000000000142e+01
6.100000000000000977e-01 1.684100000000000108e+01
6.170000000000001039e-01 1.670599999999999952e+01
6.259999999999998899e-01 1.658399999999999963e+01
6.339999999999998970e-01 1.645299999999999940e+01
6.430000000000000160e-01 1.633200000000000074e+01
6.510000000000000231e-01 1.621100000000000207e+01
6.589999999999999192e-01 1.609700000000000131e+01
6.669999999999999263e-01 1.598200000000000109e+01
6.739999999999999325e-01 1.588199999999999967e+01
6.810000000000000497e-01 1.578599999999999959e+01
6.819999999999999396e-01 1.578200000000000003e+01
6.770000000000000462e-01 1.582099999999999973e+01
6.899999999999999467e-01 1.567300000000000004e+01
7.029999999999999583e-01 1.552599999999999980e+01
7.169999999999999707e-01 1.538499999999999979e+01
