# BVcolor, Vmag
2.081000000000001293e+00 3.054599999999999937e+01
2.038999999999999702e+00 2.982399999999999807e+01
1.821999999999999176e+00 2.835600000000000165e+01
1.618999999999999773e+00 2.730600000000000094e+01
1.391000000000000014e+00 2.640700000000000003e+01
1.202999999999999403e+00 2.565299999999999869e+01
1.054999999999999716e+00 2.498100000000000165e+01
9.300000000000014921e-01 2.435399999999999920e+01
8.160000000000007248e-01 2.376700000000000301e+01
6.819999999999994955e-01 2.315700000000000003e+01
5.270000000000001350e-01 2.222899999999999920e+01
4.059999999999996945e-01 2.143599999999999994e+01
4.020000000000001350e-01 2.141100000000000136e+01
3.949999999999995737e-01 2.135999999999999943e+01
3.049999999999997158e-01 2.069200000000000017e+01
2.779999999999995808e-01 2.050000000000000000e+01
2.110000000000002984e-01 2.003300000000000125e+01
1.829999999999998295e-01 1.988299999999999912e+01
1.060000000000003162e-01 1.948100000000000165e+01
4.299999999999970512e-02 1.916700000000000159e+01
1.500000000000012434e-02 1.903200000000000003e+01
1.399999999999979039e-02 1.902700000000000102e+01
-3.900000000000014566e-02 1.879599999999999937e+01
-7.200000000000006395e-02 1.863400000000000034e+01
-7.799999999999984723e-02 1.859700000000000131e+01
-8.400000000000007461e-02 1.856400000000000006e+01
-1.169999999999999929e-01 1.836400000000000077e+01
-1.380000000000003446e-01 1.821199999999999974e+01
-1.450000000000000178e-01 1.814999999999999858e+01
-1.520000000000001350e-01 1.809700000000000131e+01
-1.640000000000001457e-01 1.797299999999999898e+01
-1.730000000000000426e-01 1.786899999999999977e+01
-1.750000000000002665e-01 1.783299999999999841e+01
-1.780000000000003801e-01 1.778900000000000148e+01
-1.790000000000002700e-01 1.777700000000000102e+01
-1.829999999999998295e-01 1.766199999999999903e+01
-1.860000000000003872e-01 1.753900000000000148e+01
-1.859999999999999432e-01 1.743700000000000117e+01
-1.869999999999998330e-01 1.743200000000000216e+01
-1.860000000000001652e-01 1.730499999999999972e+01
-1.830000000000000515e-01 1.718100000000000094e+01
-1.800000000000001599e-01 1.706200000000000117e+01
-1.779999999999999361e-01 1.700499999999999901e+01
-1.779999999999999361e-01 1.695200000000000173e+01
-1.779999999999999361e-01 1.693599999999999994e+01
-1.799999999999999378e-01 1.690800000000000125e+01
-1.850000000000000533e-01 1.690599999999999881e+01
-1.930000000000000604e-01 1.691799999999999926e+01
-2.000000000000001776e-01 1.692099999999999937e+01
-2.059999999999999609e-01 1.690599999999999881e+01
-2.040000000000001812e-01 1.690500000000000114e+01
-1.950000000000000622e-01 1.681500000000000128e+01
-1.859999999999999432e-01 1.665399999999999991e+01
-1.750000000000000444e-01 1.652299999999999969e+01
-1.599999999999999201e-01 1.640800000000000125e+01
-1.419999999999999041e-01 1.631500000000000128e+01
-1.219999999999999973e-01 1.624800000000000111e+01
-9.399999999999997247e-02 1.618700000000000117e+01
-6.699999999999994849e-02 1.616100000000000136e+01
