# grcolor, gmag
2.080999999999999517e+00 3.054800000000000182e+01
2.039999999999999147e+00 2.982699999999999818e+01
1.823999999999999844e+00 2.836700000000000088e+01
1.621999999999999886e+00 2.732000000000000028e+01
1.394999999999999574e+00 2.642999999999999972e+01
1.205000000000000071e+00 2.566700000000000159e+01
1.057999999999999829e+00 2.500000000000000000e+01
9.339999999999992752e-01 2.438100000000000023e+01
8.220000000000000639e-01 2.380300000000000082e+01
6.879999999999997229e-01 2.320100000000000051e+01
5.350000000000001421e-01 2.229100000000000037e+01
4.120000000000008100e-01 2.149699999999999989e+01
3.170000000000001705e-01 2.080799999999999983e+01
2.290000000000000924e-01 2.019100000000000250e+01
1.579999999999994742e-01 1.981899999999999906e+01
5.299999999999993605e-02 1.928200000000000003e+01
-9.000000000000341061e-03 1.901399999999999935e+01
-4.300000000000014921e-02 1.887199999999999989e+01
-4.699999999999970868e-02 1.885500000000000043e+01
-1.169999999999999929e-01 1.850900000000000034e+01
-1.509999999999998010e-01 1.829800000000000182e+01
-1.750000000000002665e-01 1.811500000000000199e+01
-1.979999999999999538e-01 1.790299999999999869e+01
-2.019999999999999574e-01 1.786200000000000188e+01
-2.059999999999999609e-01 1.781200000000000117e+01
-2.170000000000000817e-01 1.767500000000000071e+01
-2.280000000000002025e-01 1.754599999999999937e+01
-2.330000000000000959e-01 1.745700000000000074e+01
-2.429999999999998828e-01 1.730300000000000082e+01
-2.620000000000000107e-01 1.696600000000000108e+01
-2.789999999999999147e-01 1.657300000000000040e+01
-2.850000000000001421e-01 1.643700000000000117e+01
-2.900000000000000355e-01 1.624899999999999878e+01
-2.970000000000000417e-01 1.599200000000000088e+01
-2.989999999999999325e-01 1.592999999999999972e+01
-3.030000000000000471e-01 1.574500000000000099e+01
-3.050000000000000488e-01 1.554700000000000060e+01
-3.069999999999999951e-01 1.539200000000000124e+01
-3.069999999999999951e-01 1.536200000000000010e+01
-3.079999999999999960e-01 1.518999999999999950e+01
-3.079999999999999960e-01 1.502899999999999991e+01
-3.070000000000000506e-01 1.487199999999999989e+01
-3.060000000000000497e-01 1.472100000000000009e+01
-3.049999999999999378e-01 1.471199999999999974e+01
-3.029999999999999361e-01 1.456900000000000084e+01
-3.020000000000000462e-01 1.450100000000000122e+01
-3.019999999999999352e-01 1.443900000000000006e+01
-3.019999999999999352e-01 1.441600000000000037e+01
-3.030000000000000471e-01 1.439400000000000013e+01
-3.070000000000000506e-01 1.440399999999999991e+01
-3.129999999999999449e-01 1.444200000000000017e+01
-3.180000000000000604e-01 1.446700000000000053e+01
-3.210000000000000631e-01 1.448000000000000043e+01
-3.210000000000000631e-01 1.448300000000000054e+01
-3.139999999999999458e-01 1.444899999999999984e+01
-3.069999999999999396e-01 1.428899999999999970e+01
-3.000000000000000444e-01 1.413199999999999967e+01
