# g, gerr, r, rerr
2.336599999999999966e+01 2.550000000000000044e-01 2.144099999999999895e+01 7.299999999999999545e-02
2.106200000000000117e+01 5.199999999999999761e-02 1.999699999999999989e+01 2.500000000000000139e-02
2.167399999999999949e+01 8.599999999999999312e-02 2.121600000000000108e+01 6.800000000000000488e-02
2.025900000000000034e+01 2.400000000000000050e-02 1.944300000000000139e+01 1.499999999999999944e-02
2.018900000000000006e+01 2.100000000000000130e-02 1.884900000000000020e+01 1.799999999999999864e-02
2.264300000000000068e+01 1.290000000000000036e-01 9.999899999999999523e+01 9.999000000000000554e+00
2.066900000000000048e+01 3.300000000000000155e-02 1.936599999999999966e+01 1.700000000000000122e-02
2.064399999999999835e+01 3.599999999999999728e-02 1.916400000000000148e+01 1.799999999999999864e-02
2.074399999999999977e+01 2.800000000000000058e-02 2.035600000000000165e+01 3.200000000000000067e-02
2.339999999999999858e+01 2.280000000000000082e-01 2.201999999999999957e+01 1.390000000000000124e-01
2.226999999999999957e+01 8.799999999999999489e-02 2.141199999999999903e+01 6.900000000000000577e-02
2.148499999999999943e+01 4.299999999999999656e-02 2.016000000000000014e+01 3.099999999999999978e-02
2.230999999999999872e+01 8.000000000000000167e-02 2.084199999999999875e+01 5.199999999999999761e-02
2.188400000000000034e+01 8.000000000000000167e-02 2.042299999999999827e+01 3.500000000000000333e-02
2.070799999999999841e+01 3.099999999999999978e-02 1.931899999999999906e+01 1.899999999999999953e-02
2.230900000000000105e+01 1.160000000000000059e-01 2.090399999999999991e+01 5.600000000000000117e-02
2.054299999999999926e+01 2.599999999999999881e-02 2.017599999999999838e+01 3.400000000000000244e-02
1.994800000000000040e+01 2.599999999999999881e-02 1.888599999999999923e+01 1.600000000000000033e-02
2.337000000000000099e+01 2.489999999999999991e-01 2.154700000000000060e+01 9.199999999999999845e-02
2.108299999999999841e+01 4.100000000000000172e-02 2.035000000000000142e+01 3.300000000000000155e-02
2.212800000000000011e+01 9.800000000000000377e-02 2.152700000000000102e+01 7.000000000000000666e-02
2.317399999999999949e+01 1.900000000000000022e-01 2.180499999999999972e+01 1.000000000000000056e-01
2.000700000000000145e+01 2.100000000000000130e-02 1.926999999999999957e+01 1.499999999999999944e-02
2.150199999999999889e+01 5.600000000000000117e-02 2.111400000000000077e+01 6.300000000000000044e-02
2.363599999999999923e+01 3.250000000000000111e-01 2.182700000000000173e+01 1.039999999999999952e-01
2.073799999999999955e+01 2.900000000000000147e-02 1.922599999999999909e+01 1.899999999999999953e-02
2.071300000000000097e+01 3.699999999999999817e-02 1.933899999999999864e+01 1.499999999999999944e-02
2.163599999999999923e+01 8.799999999999999489e-02 2.114199999999999946e+01 7.099999999999999367e-02
2.012500000000000000e+01 1.799999999999999864e-02 1.975300000000000011e+01 2.500000000000000139e-02
1.615500000000000114e+01 1.000000000000000021e-02 1.559900000000000020e+01 1.400000000000000029e-02
2.058500000000000085e+01 3.400000000000000244e-02 2.021099999999999852e+01 2.999999999999999889e-02
2.121300000000000097e+01 4.000000000000000083e-02 1.978500000000000014e+01 2.599999999999999881e-02
2.130300000000000082e+01 6.099999999999999867e-02 2.085300000000000153e+01 4.200000000000000261e-02
2.084100000000000108e+01 4.499999999999999833e-02 1.995299999999999940e+01 2.599999999999999881e-02
2.286100000000000065e+01 2.059999999999999887e-01 9.999899999999999523e+01 9.999000000000000554e+00
2.136299999999999955e+01 2.999999999999999889e-02 2.015700000000000003e+01 3.200000000000000067e-02
2.203000000000000114e+01 9.400000000000000022e-02 2.107900000000000063e+01 5.600000000000000117e-02
2.152100000000000080e+01 5.399999999999999939e-02 2.022500000000000142e+01 3.599999999999999728e-02
1.867399999999999949e+01 1.200000000000000025e-02 1.788599999999999923e+01 1.400000000000000029e-02
2.055600000000000094e+01 3.599999999999999728e-02 1.957700000000000173e+01 2.100000000000000130e-02
2.047299999999999898e+01 2.900000000000000147e-02 2.017999999999999972e+01 3.500000000000000333e-02
2.271300000000000097e+01 1.270000000000000018e-01 2.198999999999999844e+01 1.300000000000000044e-01
