# B, V
1.490099999999999980e+01 1.354700000000000060e+01
1.177999999999999936e+01 1.134900000000000020e+01
1.532000000000000028e+01 1.470400000000000063e+01
1.647400000000000020e+01 1.581300000000000061e+01
1.559200000000000053e+01 1.509500000000000064e+01
1.170500000000000007e+01 1.127699999999999925e+01
1.619800000000000040e+01 1.560999999999999943e+01
1.492299999999999827e+01 1.413299999999999912e+01
1.677599999999999980e+01 1.598900000000000077e+01
1.658899999999999864e+01 1.571599999999999930e+01
1.361899999999999977e+01 1.336800000000000033e+01
1.581000000000000050e+01 1.495100000000000051e+01
1.476100000000000101e+01 1.355400000000000027e+01
1.686199999999999832e+01 1.602299999999999969e+01
1.441399999999999970e+01 1.408900000000000041e+01
1.670500000000000185e+01 1.582300000000000040e+01
1.671300000000000097e+01 1.594200000000000017e+01
1.576900000000000013e+01 1.492900000000000027e+01
1.663299999999999912e+01 1.623999999999999844e+01
1.554299999999999926e+01 1.470299999999999940e+01
1.465799999999999947e+01 1.389499999999999957e+01
1.556000000000000050e+01 1.429100000000000037e+01
1.695400000000000063e+01 1.602700000000000102e+01
1.565799999999999947e+01 1.520899999999999963e+01
1.653999999999999915e+01 1.577699999999999925e+01
1.696999999999999886e+01 1.606400000000000006e+01
1.597600000000000087e+01 1.473900000000000077e+01
1.342800000000000082e+01 1.312100000000000044e+01
1.503999999999999915e+01 1.462199999999999989e+01
1.487199999999999989e+01 1.356099999999999994e+01
1.684100000000000108e+01 1.601399999999999935e+01
1.692899999999999849e+01 1.595800000000000018e+01
1.473700000000000010e+01 1.419599999999999973e+01
1.516600000000000037e+01 1.456900000000000084e+01
1.609600000000000009e+01 1.526099999999999923e+01
1.645700000000000074e+01 1.540199999999999925e+01
1.655300000000000082e+01 1.571299999999999919e+01
1.094899999999999984e+01 1.061100000000000065e+01
1.689199999999999946e+01 1.600199999999999889e+01
1.563799999999999990e+01 1.475399999999999956e+01
1.661299999999999955e+01 1.587800000000000011e+01
1.618199999999999861e+01 1.542099999999999937e+01
1.505600000000000094e+01 1.461500000000000021e+01
1.467699999999999960e+01 1.397799999999999976e+01
1.665099999999999980e+01 1.573700000000000010e+01
1.496000000000000085e+01 1.421799999999999997e+01
1.595400000000000063e+01 1.500300000000000011e+01
1.597100000000000009e+01 1.524399999999999977e+01
1.401800000000000068e+01 1.314000000000000057e+01
1.638500000000000156e+01 1.559200000000000053e+01
1.376600000000000001e+01 1.315099999999999980e+01
1.485200000000000031e+01 1.410899999999999999e+01
1.599600000000000044e+01 1.531000000000000050e+01
1.625100000000000122e+01 1.545800000000000018e+01
1.655499999999999972e+01 1.596199999999999974e+01
1.469500000000000028e+01 1.401900000000000013e+01
1.580400000000000027e+01 1.504100000000000037e+01
1.583300000000000018e+01 1.508600000000000030e+01
1.671499999999999986e+01 1.548799999999999955e+01
1.525300000000000011e+01 1.482399999999999984e+01
1.682099999999999795e+01 1.557499999999999929e+01
1.433100000000000129e+01 1.401500000000000057e+01
1.592200000000000060e+01 1.553400000000000070e+01
1.652299999999999969e+01 1.588899999999999935e+01
1.599099999999999966e+01 1.528599999999999959e+01
1.635300000000000153e+01 1.504100000000000037e+01
1.650199999999999889e+01 1.584999999999999964e+01
1.120299999999999940e+01 1.104499999999999993e+01
1.411200000000000010e+01 1.358200000000000074e+01
1.451600000000000001e+01 1.387199999999999989e+01
1.454400000000000048e+01 1.386599999999999966e+01
1.731600000000000250e+01 1.647200000000000131e+01
1.598199999999999932e+01 1.533699999999999974e+01
1.635200000000000031e+01 1.542699999999999960e+01
1.598600000000000065e+01 1.473300000000000054e+01
1.633500000000000085e+01 1.531000000000000050e+01
1.489299999999999891e+01 1.448799999999999955e+01
1.683999999999999986e+01 1.576500000000000057e+01
1.416200000000000081e+01 1.385100000000000087e+01
1.325099999999999945e+01 1.305599999999999916e+01
1.450799999999999912e+01 1.379899999999999949e+01
1.542600000000000016e+01 1.495400000000000063e+01
1.619600000000000151e+01 1.538799999999999990e+01
1.616900000000000048e+01 1.537899999999999956e+01
1.690700000000000003e+01 1.611599999999999966e+01
1.546199999999999974e+01 1.450799999999999912e+01
1.413199999999999967e+01 1.384299999999999997e+01
1.718500000000000227e+01 1.630300000000000082e+01
1.526400000000000112e+01 1.480000000000000071e+01
1.573600000000000065e+01 1.455100000000000016e+01
1.445699999999999896e+01 1.368399999999999928e+01
1.664700000000000202e+01 1.603600000000000136e+01
1.644300000000000139e+01 1.554199999999999982e+01
1.704599999999999937e+01 1.639099999999999824e+01
1.543100000000000094e+01 1.468800000000000061e+01
1.560599999999999987e+01 1.508600000000000030e+01
1.609799999999999898e+01 1.548700000000000010e+01
1.658500000000000085e+01 1.540799999999999947e+01
1.656599999999999895e+01 1.563899999999999935e+01
1.694600000000000151e+01 1.613700000000000045e+01
1.615199999999999747e+01 1.521299999999999919e+01
1.262199999999999989e+01 1.230599999999999916e+01
1.086599999999999966e+01 1.054199999999999982e+01
1.663700000000000045e+01 1.591499999999999915e+01
1.600600000000000023e+01 1.542800000000000082e+01
1.367999999999999972e+01 1.297799999999999976e+01
1.444699999999999918e+01 1.399499999999999922e+01
1.676200000000000045e+01 1.599699999999999989e+01
1.677200000000000202e+01 1.600900000000000034e+01
1.687800000000000011e+01 1.608999999999999986e+01
1.667200000000000060e+01 1.581400000000000006e+01
1.622700000000000031e+01 1.554100000000000037e+01
1.478099999999999881e+01 1.389499999999999957e+01
1.684700000000000131e+01 1.580100000000000016e+01
1.599600000000000044e+01 1.453200000000000003e+01
1.602499999999999858e+01 1.529100000000000037e+01
1.449900000000000055e+01 1.416999999999999993e+01
1.642999999999999972e+01 1.546799999999999997e+01
1.665700000000000003e+01 1.583000000000000007e+01
1.483600000000000030e+01 1.444299999999999962e+01
1.664900000000000091e+01 1.586299999999999955e+01
1.439599999999999902e+01 1.394899999999999984e+01
1.615399999999999991e+01 1.496799999999999997e+01
1.133300000000000018e+01 1.084500000000000064e+01
1.420599999999999952e+01 1.354899999999999949e+01
1.621099999999999852e+01 1.488899999999999935e+01
1.590399999999999991e+01 1.536400000000000077e+01
1.535700000000000109e+01 1.492200000000000060e+01
1.551500000000000057e+01 1.514400000000000013e+01
1.682900000000000063e+01 1.612000000000000099e+01
1.667300000000000182e+01 1.567300000000000004e+01
1.708999999999999986e+01 1.638200000000000145e+01
1.594199999999999839e+01 1.528999999999999915e+01
1.698100000000000165e+01 1.612300000000000111e+01
1.691700000000000159e+01 1.599600000000000044e+01
1.683899999999999864e+01 1.596100000000000030e+01
1.639300000000000068e+01 1.544899999999999984e+01
1.652700000000000102e+01 1.568800000000000061e+01
1.666099999999999781e+01 1.601399999999999935e+01
1.513199999999999967e+01 1.436200000000000010e+01
1.482699999999999996e+01 1.441600000000000037e+01
1.619200000000000017e+01 1.551399999999999935e+01
1.334099999999999930e+01 1.300999999999999979e+01
1.399799999999999933e+01 1.366099999999999959e+01
1.625799999999999912e+01 1.553500000000000014e+01
1.452899999999999991e+01 1.370299999999999940e+01
1.662999999999999901e+01 1.590199999999999925e+01
1.525100000000000122e+01 1.393200000000000038e+01
1.667200000000000060e+01 1.593399999999999928e+01
1.678099999999999881e+01 1.591699999999999982e+01
1.504599999999999937e+01 1.422499999999999964e+01
1.700300000000000011e+01 1.631500000000000128e+01
1.673699999999999832e+01 1.577399999999999913e+01
1.661700000000000088e+01 1.583000000000000007e+01
1.295199999999999996e+01 1.271899999999999942e+01
1.698699999999999832e+01 1.617599999999999838e+01
1.628900000000000148e+01 1.543200000000000038e+01
1.385899999999999999e+01 1.333000000000000007e+01
1.494899999999999984e+01 1.430100000000000016e+01
1.713799999999999812e+01 1.633599999999999852e+01
1.583499999999999908e+01 1.492999999999999972e+01
1.509600000000000009e+01 1.467200000000000060e+01
1.544500000000000028e+01 1.407399999999999984e+01
1.573399999999999999e+01 1.440700000000000003e+01
1.696000000000000085e+01 1.637600000000000122e+01
1.621399999999999864e+01 1.530700000000000038e+01
1.519099999999999895e+01 1.465099999999999980e+01
1.649899999999999878e+01 1.558699999999999974e+01
1.612899999999999778e+01 1.522199999999999953e+01
1.646099999999999852e+01 1.567900000000000027e+01
1.600000000000000000e+01 1.477500000000000036e+01
1.296600000000000108e+01 1.178800000000000026e+01
1.524900000000000055e+01 1.482300000000000040e+01
1.711299999999999955e+01 1.626999999999999957e+01
1.661299999999999955e+01 1.569400000000000084e+01
1.597799999999999976e+01 1.540300000000000047e+01
1.620199999999999818e+01 1.528899999999999970e+01
1.655199999999999960e+01 1.531199999999999939e+01
1.643900000000000006e+01 1.587500000000000000e+01
1.344899999999999984e+01 1.317099999999999937e+01
1.705799999999999983e+01 1.617399999999999949e+01
1.661700000000000088e+01 1.564499999999999957e+01
1.632300000000000040e+01 1.487199999999999989e+01
1.655699999999999861e+01 1.566799999999999926e+01
1.401200000000000045e+01 1.344400000000000084e+01
1.323300000000000054e+01 1.293500000000000050e+01
1.716199999999999903e+01 1.637399999999999878e+01
1.600300000000000011e+01 1.469599999999999973e+01
1.475999999999999979e+01 1.434399999999999942e+01
1.340299999999999869e+01 1.312599999999999945e+01
1.659399999999999764e+01 1.575799999999999912e+01
1.679899999999999949e+01 1.615700000000000003e+01
1.690800000000000125e+01 1.609700000000000131e+01
1.377099999999999902e+01 1.295299999999999940e+01
1.709100000000000108e+01 1.630300000000000082e+01
1.598900000000000077e+01 1.471400000000000041e+01
1.609200000000000230e+01 1.549200000000000088e+01
1.685999999999999943e+01 1.599499999999999922e+01
1.656400000000000006e+01 1.574600000000000044e+01
1.601299999999999812e+01 1.551099999999999923e+01
1.659699999999999775e+01 1.588299999999999912e+01
1.552000000000000135e+01 1.484800000000000075e+01
1.667900000000000205e+01 1.580700000000000038e+01
1.587800000000000011e+01 1.482300000000000040e+01
1.561100000000000065e+01 1.498000000000000043e+01
1.566200000000000081e+01 1.487800000000000011e+01
1.636599999999999966e+01 1.599200000000000088e+01
1.468400000000000105e+01 1.424300000000000033e+01
1.700099999999999767e+01 1.690299999999999869e+01
1.555799999999999983e+01 1.504299999999999926e+01
1.693799999999999883e+01 1.603800000000000026e+01
1.320800000000000018e+01 1.289300000000000068e+01
1.407099999999999973e+01 1.341699999999999982e+01
1.663800000000000168e+01 1.593200000000000038e+01
1.612199999999999989e+01 1.483200000000000074e+01
1.665700000000000003e+01 1.583000000000000007e+01
1.642999999999999972e+01 1.560500000000000043e+01
1.630100000000000193e+01 1.507600000000000051e+01
1.479400000000000048e+01 1.380300000000000082e+01
1.692099999999999937e+01 1.613100000000000023e+01
1.551699999999999946e+01 1.423700000000000010e+01
1.635899999999999821e+01 1.552599999999999980e+01
1.696799999999999997e+01 1.595899999999999963e+01
1.546399999999999864e+01 1.496599999999999930e+01
1.552799999999999869e+01 1.392699999999999960e+01
1.548499999999999943e+01 1.486899999999999977e+01
1.570599999999999952e+01 1.477200000000000024e+01
1.706599999999999895e+01 1.632900000000000063e+01
1.691600000000000037e+01 1.600900000000000034e+01
1.681899999999999906e+01 1.588400000000000034e+01
1.563700000000000045e+01 1.472400000000000020e+01
9.721999999999999531e+00 9.542999999999999261e+00
1.630499999999999972e+01 1.521400000000000041e+01
1.409200000000000053e+01 1.350600000000000023e+01
1.444600000000000151e+01 1.315600000000000058e+01
1.616799999999999926e+01 1.478100000000000058e+01
1.592199999999999882e+01 1.533399999999999963e+01
1.605300000000000082e+01 1.506099999999999994e+01
1.663100000000000023e+01 1.575600000000000023e+01
1.679899999999999949e+01 1.633099999999999952e+01
1.368600000000000172e+01 1.336700000000000088e+01
9.688000000000000611e+00 9.470000000000000639e+00
1.673099999999999810e+01 1.594699999999999918e+01
1.418699999999999939e+01 1.343900000000000006e+01
1.627700000000000102e+01 1.532699999999999996e+01
1.661499999999999844e+01 1.580100000000000016e+01
1.558099999999999952e+01 1.463599999999999923e+01
1.676200000000000045e+01 1.583500000000000085e+01
1.625900000000000034e+01 1.491699999999999982e+01
1.699600000000000222e+01 1.606200000000000117e+01
1.216200000000000081e+01 1.185800000000000054e+01
8.842999999999999972e+00 8.528999999999999915e+00
1.360000000000000142e+01 1.273900000000000077e+01
1.632199999999999918e+01 1.532499999999999929e+01
1.631199999999999761e+01 1.543699999999999939e+01
1.722899999999999920e+01 1.633500000000000085e+01
1.373099999999999987e+01 1.328899999999999970e+01
1.680499999999999972e+01 1.594299999999999962e+01
1.636199999999999832e+01 1.540700000000000003e+01
1.558900000000000041e+01 1.505300000000000082e+01
1.662400000000000233e+01 1.571700000000000053e+01
1.722100000000000009e+01 1.638800000000000168e+01
1.414600000000000080e+01 1.379100000000000037e+01
1.597499999999999964e+01 1.510899999999999999e+01
1.457099999999999973e+01 1.367699999999999960e+01
1.452599999999999980e+01 1.375999999999999979e+01
1.528699999999999903e+01 1.442099999999999937e+01
1.564100000000000001e+01 1.512800000000000011e+01
8.669999999999999929e+00 8.516999999999999460e+00
1.492699999999999960e+01 1.407099999999999973e+01
1.467099999999999937e+01 1.330799999999999983e+01
1.555599999999999916e+01 1.466099999999999959e+01
1.602599999999999980e+01 1.517600000000000016e+01
1.177799999999999869e+01 1.143099999999999916e+01
1.464799999999999969e+01 1.412599999999999945e+01
1.449299999999999855e+01 1.374799999999999933e+01
1.339199999999999946e+01 1.202200000000000024e+01
1.570899999999999963e+01 1.512800000000000011e+01
1.590300000000000047e+01 1.450000000000000000e+01
1.634799999999999898e+01 1.542200000000000060e+01
1.688000000000000256e+01 1.610000000000000142e+01
1.107100000000000151e+01 1.081900000000000084e+01
1.659600000000000009e+01 1.566600000000000037e+01
1.104499999999999993e+01 1.076200000000000045e+01
1.363299999999999912e+01 1.313499999999999979e+01
1.169100000000000072e+01 1.139400000000000013e+01
1.258999999999999986e+01 1.223799999999999955e+01
